YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,ND,Total Electric Power Industry,Petroleum,41547,0.041547
1990,NE,Total Electric Power Industry,Total,21633587,21.633587
1990,NE,Total Electric Power Industry,Coal,12661150,12.66115
1990,NE,Total Electric Power Industry,Hydroelectric Conventional,1140093,1.140093
1990,NE,Total Electric Power Industry,Natural Gas,308065,0.308065
1990,NE,Total Electric Power Industry,Nuclear,7511298,7.511298
1990,NE,Total Electric Power Industry,Petroleum,12981,0.012981
1990,NH,Total Electric Power Industry,Total,12405196,12.405196
1990,NH,Total Electric Power Industry,Coal,2959203,2.959203
1990,NH,Total Electric Power Industry,Hydroelectric Conventional,1881087,1.881087
1990,NH,Total Electric Power Industry,Natural Gas,0,0
1990,NH,Total Electric Power Industry,Nuclear,4080691,4.080691
1990,NH,Total Electric Power Industry,Other Biomass,147524,0.147524
1990,NH,Total Electric Power Industry,Petroleum,2346493,2.346493
1990,NH,Total Electric Power Industry,Wood and Wood Derived Fuels,990198,0.990198
1990,NJ,Total Electric Power Industry,Total,39968834,39.968834
1990,NJ,Total Electric Power Industry,Coal,7057820,7.05782
1990,NJ,Total Electric Power Industry,Hydroelectric Conventional,31351,0.031351
1990,NJ,Total Electric Power Industry,Natural Gas,6914325,6.914325
1990,NJ,Total Electric Power Industry,Nuclear,23770387,23.770387
1990,NJ,Total Electric Power Industry,Other Biomass,246058,0.246058
1990,NJ,Total Electric Power Industry,Petroleum,2094969,2.094969
1990,NJ,Total Electric Power Industry,Wood and Wood Derived Fuels,3471,0.003471
1990,NM,Total Electric Power Industry,Total,28820204,28.820204
1990,NM,Total Electric Power Industry,Coal,25826928,25.826928
1990,NM,Total Electric Power Industry,Hydroelectric Conventional,205435,0.205435
1990,NM,Total Electric Power Industry,Natural Gas,2738087,2.738087
1990,NM,Total Electric Power Industry,Other Biomass,14128,0.014128
1990,NM,Total Electric Power Industry,Petroleum,35626,0.035626
1990,NV,Total Electric Power Industry,Total,20050685,20.050685
1990,NV,Total Electric Power Industry,Coal,15053277,15.053277
1990,NV,Total Electric Power Industry,Geothermal,761192,0.761192
1990,NV,Total Electric Power Industry,Hydroelectric Conventional,1735081,1.735081
1990,NV,Total Electric Power Industry,Natural Gas,2217027,2.217027
1990,NV,Total Electric Power Industry,Petroleum,284108,0.284108
1990,NY,Total Electric Power Industry,Total,135345692,135.345692
1990,NY,Total Electric Power Industry,Coal,25913047,25.913047
1990,NY,Total Electric Power Industry,Hydroelectric Conventional,28188222,28.188222
1990,NY,Total Electric Power Industry,Natural Gas,22724335,22.724335
1990,NY,Total Electric Power Industry,Nuclear,23623356,23.623356
1990,NY,Total Electric Power Industry,Other Biomass,1568979,1.568979
1990,NY,Total Electric Power Industry,Other Gases,89034,0.089034
1990,NY,Total Electric Power Industry,Petroleum,33884855,33.884855
1990,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,407959,0.407959
1990,OH,Total Electric Power Industry,Total,127980527,127.980527
1990,OH,Total Electric Power Industry,Coal,115832650,115.83265
1990,OH,Total Electric Power Industry,Hydroelectric Conventional,181395,0.181395
1990,OH,Total Electric Power Industry,Natural Gas,241585,0.241585
1990,OH,Total Electric Power Industry,Nuclear,10663897,10.663897
1990,OH,Total Electric Power Industry,Other Biomass,304285,0.304285
1990,OH,Total Electric Power Industry,Other Gases,64159,0.064159
1990,OH,Total Electric Power Industry,Petroleum,374481,0.374481
1990,OH,Total Electric Power Industry,Wood and Wood Derived Fuels,318075,0.318075
1990,OK,Total Electric Power Industry,Total,47079131,47.079131
1990,OK,Total Electric Power Industry,Coal,25655347,25.655347
1990,OK,Total Electric Power Industry,Hydroelectric Conventional,2730594,2.730594
1990,OK,Total Electric Power Industry,Natural Gas,18236766,18.236766
1990,OK,Total Electric Power Industry,Other Biomass,1780,0.00178
1990,OK,Total Electric Power Industry,Other Gases,88970,0.08897
